EXP:2100
('g', 3.842164, 1652022923303886815)
('d', 0.725856, 1652022923304615666)
('g', 0.248642, 1652022923304865809)
('d', 0.372083, 1652022923305239247)
('g', 0.259535, 1652022923305500548)
('g', 0.246755, 1652022923305748985)
('g', 0.195883, 1652022923305946742)
('g', 0.331132, 1652022923306279462)
('g', 0.332696, 1652022923306614148)
('g', 0.250681, 1652022923306867070)
('g', 0.215743, 1652022923307084779)
('d', 0.3165, 1652022923307403191)
('g', 0.274484, 1652022923307679806)
('g', 0.236017, 1652022923307917525)
('d', 0.306889, 1652022923308225631)
('g', 0.215794, 1652022923308442645)
('d', 0.328907, 1652022923308772599)
('d', 0.266326, 1652022923309041115)
('d', 0.270711, 1652022923309312942)
('g', 0.238684, 1652022923309552621)
('d', 0.298512, 1652022923309852128)
('g', 0.209711, 1652022923310062881)
('i', 0.275241, 1652022923310339167)
('g', 0.259605, 1652022923310599827)
('d', 0.295831, 1652022923310896649)
('g', 0.213478, 1652022923311111242)
('i', 0.354304, 1652022923311467033)
('g', 0.219481, 1652022923311688139)
('g', 0.207017, 1652022923311896756)
('g', 0.215466, 1652022923312113792)
('g', 0.210242, 1652022923312326138)
('g', 0.23197, 1652022923312560375)
('i', 0.298973, 1652022923312860465)
('g', 0.21419, 1652022923313076595)
('g', 0.192727, 1652022923313271284)
('g', 0.210743, 1652022923313483924)
('g', 0.191915, 1652022923313687279)
('d', 0.272615, 1652022923313960936)
('g', 0.225004, 1652022923314187348)
('d', 0.292745, 1652022923314481275)
('g', 0.227122, 1652022923314709545)
('g', 0.232581, 1652022923314943214)
('g', 0.207112, 1652022923315151402)
('d', 0.252591, 1652022923315405093)
('i', 0.353853, 1652022923315760355)
('g', 0.258607, 1652022923316020673)
('g', 0.247525, 1652022923316269312)
('i', 0.305106, 1652022923316576273)
('g', 0.2107, 1652022923316788752)
('d', 0.248026, 1652022923317037836)
('g', 0.200882, 1652022923317239834)
('g', 0.222333, 1652022923317463272)
('g', 0.208984, 1652022923317673320)
('d', 0.288179, 1652022923317962506)
('d', 0.280253, 1652022923318243971)
('i', 0.270461, 1652022923318515547)
('i', 0.288917, 1652022923318805580)
('g', 0.199526, 1652022923319006387)
('g', 0.208508, 1652022923319215959)
('d', 0.255571, 1652022923319473311)
('g', 0.186562, 1652022923319661146)
('g', 0.186957, 1652022923319849191)
('g', 0.186432, 1652022923320036717)
('g', 0.197376, 1652022923320235265)
('g', 0.18145, 1652022923320417780)
('g', 0.192838, 1652022923320611702)
('g', 0.184158, 1652022923320796788)
('i', 0.25329, 1652022923321050967)
('g', 0.262253, 1652022923321314289)
('g', 0.183565, 1652022923321498932)
('g', 0.172797, 1652022923321672771)
('d', 0.292367, 1652022923321966191)
('g', 0.175724, 1652022923322142978)
('g', 0.173237, 1652022923322318561)
('g', 0.230679, 1652022923322550274)
('g', 0.234143, 1652022923322785487)
('g', 0.169741, 1652022923322956341)
('g', 0.168852, 1652022923323126150)
('g', 0.171276, 1652022923323298493)
('g', 0.173958, 1652022923323473432)
('g', 0.183977, 1652022923323658257)
('i', 0.27288, 1652022923323932147)
('i', 0.221068, 1652022923324154292)
('g', 0.213319, 1652022923324368808)
('g', 0.38218, 1652022923324752066)
('g', 0.286851, 1652022923325040520)
('g', 0.203385, 1652022923325245028)
('g', 0.235952, 1652022923325482112)
('g', 0.19975, 1652022923325682980)
('i', 0.246018, 1652022923325931162)
('g', 0.185314, 1652022923326117638)
('g', 0.237338, 1652022923326355961)
('d', 0.273486, 1652022923326630460)
('g', 0.232116, 1652022923326863586)
('g', 0.2118, 1652022923327076788)
('g', 0.178676, 1652022923327256501)
('g', 0.235449, 1652022923327493045)
('g', 0.191375, 1652022923327685523)
('g', 0.237258, 1652022923327923709)
('d', 0.363841, 1652022923328288581)
('g', 0.236205, 1652022923328526291)
('g', 0.179712, 1652022923328706953)
('i', 0.25792, 1652022923328965841)
('d', 0.220795, 1652022923329187606)
('g', 0.20244, 1652022923329391093)
('g', 0.184075, 1652022923329576205)
('g', 0.18192, 1652022923329759035)
('g', 0.192372, 1652022923329953499)
('d', 0.285737, 1652022923330240184)
('g', 0.278144, 1652022923330519312)
('g', 0.186996, 1652022923330707281)
('g', 2.175389, 1652022923332883808)
('g', 5.357148, 1652022923338242605)
('g', 0.215601, 1652022923338460251)
('g', 0.184677, 1652022923338646046)
('g', 0.192154, 1652022923338839215)
('g', 0.273873, 1652022923339114076)
('g', 0.230766, 1652022923339345850)
('i', 0.68866, 1652022923340035534)
('g', 0.207879, 1652022923340245022)
('i', 0.247196, 1652022923340493335)
('g', 0.179605, 1652022923340674002)
('g', 0.231352, 1652022923340906379)
('i', 0.369904, 1652022923341277329)
('i', 0.268982, 1652022923341547351)
('d', 0.241736, 1652022923341790092)
('g', 0.201036, 1652022923341992193)
('g', 0.209957, 1652022923342203438)
('g', 0.451724, 1652022923342656249)
('g', 0.21652, 1652022923342874440)
('i', 0.310413, 1652022923343185911)
('i', 0.295645, 1652022923343483176)
('g', 0.250536, 1652022923343734779)
('g', 0.233137, 1652022923343968903)
('g', 0.208018, 1652022923344178001)
('g', 0.242896, 1652022923344421895)
('g', 0.411627, 1652022923344834500)
('g', 0.221321, 1652022923345057415)
('g', 0.203953, 1652022923345262351)
('g', 0.213217, 1652022923345476607)
('g', 0.20908, 1652022923345686694)
('g', 0.366245, 1652022923346053928)
('i', 0.623467, 1652022923346678646)
('g', 0.297107, 1652022923346977470)
('i', 0.426597, 1652022923347405131)
('g', 0.19635, 1652022923347603252)
('d', 0.302825, 1652022923347907214)
('g', 0.217964, 1652022923348126421)
('i', 0.277102, 1652022923348404515)
('g', 0.305381, 1652022923348712258)
('d', 2.283883, 1652022923350997878)
('i', 0.287418, 1652022923351286921)
('d', 0.237711, 1652022923351525655)
('g', 0.216035, 1652022923351742709)
('g', 0.20636, 1652022923351950104)
('g', 0.268402, 1652022923352219488)
('i', 0.286612, 1652022923352507178)
('g', 0.243563, 1652022923352751863)
('i', 0.276682, 1652022923353029670)
('i', 0.31013, 1652022923353340910)
('g', 0.23571, 1652022923353578317)
('g', 0.177999, 1652022923353757326)
('g', 0.304873, 1652022923354063264)
('g', 0.205282, 1652022923354269691)
('g', 0.234297, 1652022923354505131)
('d', 0.399934, 1652022923354906205)
('g', 0.217944, 1652022923355126058)
('g', 0.206672, 1652022923355333797)
('i', 0.309183, 1652022923355644005)
('g', 0.283241, 1652022923355928379)
('g', 0.246421, 1652022923356176025)
('g', 0.281283, 1652022923356458392)
('g', 0.23633, 1652022923356695801)
('g', 0.206901, 1652022923356903714)
('g', 0.225359, 1652022923357130452)
('g', 0.244844, 1652022923357376346)
('g', 0.191199, 1652022923357568632)
('i', 0.321725, 1652022923357891420)
('g', 0.201987, 1652022923358095130)
('i', 0.22798, 1652022923358324225)
('d', 0.273962, 1652022923358599302)
('g', 0.282082, 1652022923358882451)
('g', 0.18402, 1652022923359067541)
('g', 0.20572, 1652022923359274291)
('g', 0.22002, 1652022923359495348)
('g', 0.383577, 1652022923359879942)
('g', 0.204521, 1652022923360086251)
('g', 0.191028, 1652022923360278464)
('g', 0.229369, 1652022923360508941)
('g', 0.196373, 1652022923360706374)
('i', 0.283033, 1652022923360990694)
('i', 0.288122, 1652022923361279882)
('g', 0.241233, 1652022923361522196)
('i', 0.274536, 1652022923361797824)
('g', 0.202564, 1652022923362001484)
('d', 0.285411, 1652022923362288017)
('g', 0.245436, 1652022923362534603)
('g', 0.204729, 1652022923362740412)
('g', 0.218782, 1652022923362960306)
('g', 0.211297, 1652022923363172641)
('g', 0.205072, 1652022923363378775)
('g', 0.1941, 1652022923363573948)
('g', 0.220064, 1652022923363795359)
('g', 0.210923, 1652022923364007370)
('g', 0.204652, 1652022923364213009)
('d', 0.265312, 1652022923364479369)
('g', 0.209446, 1652022923364689859)
('i', 0.251997, 1652022923364943056)
('g', 0.259033, 1652022923365203323)
('g', 0.180667, 1652022923365385218)
('g', 0.238173, 1652022923365624455)
('i', 0.260883, 1652022923365886493)
('i', 0.350824, 1652022923366238429)
('g', 0.190814, 1652022923366430355)
('i', 0.305463, 1652022923366737317)
('g', 0.252602, 1652022923366991023)
('g', 0.224144, 1652022923367216294)
('g', 0.179648, 1652022923367397071)
('g', 0.216564, 1652022923367614696)
('d', 0.333423, 1652022923367949102)
('i', 0.342757, 1652022923368292957)
('d', 0.348301, 1652022923368642908)
('i', 0.347478, 1652022923368992215)
('g', 0.196564, 1652022923369190476)
('i', 0.284091, 1652022923369475577)
('i', 0.242567, 1652022923369719201)
('g', 0.195034, 1652022923369915285)
('g', 0.241906, 1652022923370158146)
('i', 0.307339, 1652022923370466529)
('g', 0.282843, 1652022923370750416)
('g', 0.204955, 1652022923370956406)
('g', 0.199213, 1652022923371156612)
('g', 0.283081, 1652022923371440683)
('g', 0.350677, 1652022923371792371)
('g', 0.239179, 1652022923372033303)
('g', 0.202137, 1652022923372236470)
('g', 0.376662, 1652022923372614102)
('g', 0.198579, 1652022923372814323)
('i', 0.260704, 1652022923373076247)
('g', 0.187694, 1652022923373264988)
('g', 0.226328, 1652022923373492271)
('g', 0.171635, 1652022923373664999)
('d', 0.258648, 1652022923373924774)
('g', 0.17132, 1652022923374097241)
('g', 0.224805, 1652022923374323045)
('g', 0.169395, 1652022923374493438)
('g', 0.318245, 1652022923374812773)
('g', 0.228817, 1652022923375042710)
('g', 0.26491, 1652022923375308594)
('g', 0.180438, 1652022923375490052)
('g', 0.168348, 1652022923375659395)
('g', 0.263359, 1652022923375923968)
('g', 0.259092, 1652022923376184128)
('g', 0.219908, 1652022923376405060)
('d', 0.353639, 1652022923376759925)
('g', 0.240588, 1652022923377002231)
('g', 0.172544, 1652022923377175915)
('g', 0.178757, 1652022923377355649)
('i', 0.235815, 1652022923377592554)
('g', 0.260357, 1652022923377853954)
('g', 0.168118, 1652022923378023208)
('g', 0.37929, 1652022923378403618)
('g', 0.219281, 1652022923378624657)
('d', 0.252921, 1652022923378878581)
('g', 0.182375, 1652022923379062097)
('g', 0.200904, 1652022923379264079)
('g', 0.300604, 1652022923379565714)
('g', 0.2085, 1652022923379775269)
('d', 0.244314, 1652022923380020547)
('i', 0.237434, 1652022923380258980)
('d', 0.303428, 1652022923380563935)
('g', 0.221748, 1652022923380786912)
('i', 0.277074, 1652022923381065269)
('i', 0.206817, 1652022923381273188)
('g', 0.182458, 1652022923381456682)
('g', 0.167006, 1652022923381624750)
('g', 0.188165, 1652022923381813925)
('i', 0.27841, 1652022923382093312)
('d', 0.20936, 1652022923382303818)
('d', 0.232654, 1652022923382537535)
('g', 0.187869, 1652022923382726470)
('g', 0.218322, 1652022923382945857)
('g', 0.194286, 1652022923383141267)
('g', 0.190497, 1652022923383332909)
('g', 0.170133, 1652022923383503960)
('g', 0.171964, 1652022923383676804)
('g', 0.15593, 1652022923383833760)
('g', 0.259071, 1652022923384093737)
('d', 0.212453, 1652022923384307211)
('g', 0.200431, 1652022923384508880)
('g', 0.170978, 1652022923384680973)
('g', 0.176877, 1652022923384858913)
('i', 0.233958, 1652022923385093933)
('g', 0.166875, 1652022923385261908)
('d', 0.24675, 1652022923385509838)
('i', 0.21344, 1652022923385724560)
('d', 0.281206, 1652022923386006957)
('g', 0.267056, 1652022923386275173)
('g', 0.223492, 1652022923386499771)
('d', 0.254712, 1652022923386755558)
('g', 0.16645, 1652022923386923196)
('i', 0.227229, 1652022923387151556)
('g', 0.164409, 1652022923387317209)
('d', 0.258598, 1652022923387576982)
('d', 0.240795, 1652022923387818832)
('i', 0.217927, 1652022923388037874)
('i', 0.269509, 1652022923388308666)
('i', 0.225501, 1652022923388535290)
('g', 0.203427, 1652022923388739781)
('i', 0.38708, 1652022923389127893)
('g', 0.222821, 1652022923389354564)
('d', 0.388358, 1652022923389744061)
('g', 0.192988, 1652022923389938807)
('g', 0.179208, 1652022923390119212)
('g', 0.270156, 1652022923390390467)
('g', 0.491455, 1652022923390882969)
('g', 0.208324, 1652022923391092788)
('g', 0.265404, 1652022923391359245)
('g', 0.205969, 1652022923391566492)
('i', 0.293082, 1652022923391860617)
('g', 0.213367, 1652022923392075112)
('d', 2.088248, 1652022923394164390)
('g', 0.452493, 1652022923394618557)
('g', 0.415459, 1652022923395035708)
('d', 0.373483, 1652022923395410926)
('g', 0.273257, 1652022923395685957)
('g', 0.200452, 1652022923395887653)
('i', 0.262438, 1652022923396151168)
('d', 0.255741, 1652022923396408001)
('d', 0.220255, 1652022923396629302)
('g', 0.264411, 1652022923396894753)
('g', 0.22664, 1652022923397122464)
('g', 0.207429, 1652022923397330976)
('i', 0.282812, 1652022923397614936)
('g', 0.239903, 1652022923397855996)
('i', 0.309692, 1652022923398166793)
('g', 0.198766, 1652022923398367193)
('g', 0.237732, 1652022923398606102)
('d', 0.252054, 1652022923398859255)
('g', 0.182921, 1652022923399043338)
('d', 0.26981, 1652022923399314244)
('g', 0.199176, 1652022923399514861)
('g', 0.300796, 1652022923399817142)
('g', 0.164293, 1652022923399982583)
('g', 0.259984, 1652022923400243605)
('i', 0.275868, 1652022923400520602)
('g', 0.313657, 1652022923400835360)
('g', 0.220319, 1652022923401057221)
('g', 0.39335, 1652022923401451716)
('d', 0.351277, 1652022923401804677)
('g', 0.160614, 1652022923401967085)
('i', 0.246995, 1652022923402215120)
('g', 0.167562, 1652022923402383815)
('g', 0.29265, 1652022923402677560)
('g', 0.206132, 1652022923402884714)
('i', 0.235339, 1652022923403121446)
('i', 0.258589, 1652022923403381220)
('i', 0.345825, 1652022923403728086)
('d', 0.309414, 1652022923404039240)
('g', 0.213347, 1652022923404254192)
('g', 0.232258, 1652022923404487511)
('g', 0.163434, 1652022923404651997)
('g', 0.182781, 1652022923404835785)
('g', 0.194466, 1652022923405031335)
('g', 0.251201, 1652022923405283606)
('g', 0.267371, 1652022923405552156)
('g', 0.203716, 1652022923405757069)
('g', 0.232926, 1652022923405991135)
('i', 0.258054, 1652022923406250287)
('g', 0.167338, 1652022923406418795)
('i', 0.247957, 1652022923406667967)
('g', 0.214492, 1652022923406883628)
('g', 0.324187, 1652022923407209599)
('g', 0.205943, 1652022923407417192)
('g', 0.232725, 1652022923407651989)
('g', 0.169472, 1652022923407822621)
('g', 0.210034, 1652022923408033625)
('g', 0.144885, 1652022923408179570)
('g', 0.215396, 1652022923408395955)
('d', 0.278514, 1652022923408675462)
('g', 0.192771, 1652022923408869327)
('g', 0.22988, 1652022923409100275)
('d', 0.277134, 1652022923409378542)
('d', 0.255205, 1652022923409634869)
('g', 0.200911, 1652022923409836972)
('i', 0.241995, 1652022923410079951)
('d', 0.25683, 1652022923410337843)
('g', 0.256201, 1652022923410595127)
('d', 0.315047, 1652022923410911299)
('g', 0.221252, 1652022923411134075)
('g', 0.228804, 1652022923411363984)
('g', 0.202261, 1652022923411567317)
('i', 0.297187, 1652022923411865566)
('i', 0.390527, 1652022923412257136)
('g', 0.717492, 1652022923412976365)
('g', 0.42338, 1652022923413401574)
('g', 0.571195, 1652022923413974516)
('i', 0.361242, 1652022923414337391)
('g', 0.428749, 1652022923414768020)
('i', 0.442494, 1652022923415212207)
('g', 0.350897, 1652022923415564759)
('g', 0.343059, 1652022923415909416)
('g', 0.245498, 1652022923416156604)
('g', 0.210587, 1652022923416368233)
('g', 0.481085, 1652022923416850298)
('d', 0.466302, 1652022923417318202)
('g', 1.114073, 1652022923418434188)
('g', 1.100782, 1652022923419536568)
('g', 0.291714, 1652022923419829937)
('g', 0.19279, 1652022923420023849)
('d', 0.225852, 1652022923420250872)
('g', 0.180472, 1652022923420432329)
('i', 0.229222, 1652022923420662801)
('d', 0.214424, 1652022923420878171)
('d', 0.189239, 1652022923421068655)
('g', 0.169872, 1652022923421239493)
('g', 0.28284, 1652022923421523371)
('i', 0.209554, 1652022923421734007)
('i', 0.210648, 1652022923421945635)
('d', 0.223485, 1652022923422169950)
('d', 0.21981, 1652022923422390631)
('g', 0.225598, 1652022923422617254)
('d', 0.238902, 1652022923422857168)
('g', 0.190657, 1652022923423048830)
('d', 0.234138, 1652022923423283866)
('g', 0.728063, 1652022923424012948)
('i', 0.286524, 1652022923424301169)
('g', 0.585597, 1652022923424887929)
('g', 0.205541, 1652022923425094974)
('g', 0.179365, 1652022923425275581)
('g', 0.195355, 1652022923425472047)
('g', 0.190593, 1652022923425663673)
('d', 0.284952, 1652022923425949667)
('g', 0.428822, 1652022923426379687)
('g', 0.981477, 1652022923427362767)
('d', 0.39443, 1652022923427758814)
('g', 0.541246, 1652022923428301677)
('g', 0.248769, 1652022923428551944)
('g', 0.25893, 1652022923428812049)
('g', 0.261543, 1652022923429074604)
('i', 0.276842, 1652022923429352451)
('g', 1.597693, 1652022923430951199)
('d', 0.530777, 1652022923431483619)
('g', 0.192114, 1652022923431677400)
('d', 0.248448, 1652022923431926841)
('g', 0.198969, 1652022923432126887)
('d', 1.587291, 1652022923433715313)
('i', 0.266817, 1652022923433983812)
('g', 0.300486, 1652022923434285453)
('i', 0.361731, 1652022923434648814)
('d', 1.054137, 1652022923435704561)
('d', 0.423341, 1652022923436129576)
('g', 0.458168, 1652022923436589388)
('d', 1.020643, 1652022923437611917)
('g', 0.664508, 1652022923438278528)
('g', 2.159972, 1652022923440440150)
('g', 0.483475, 1652022923440925293)
('d', 0.356982, 1652022923441284008)
('g', 0.212248, 1652022923441498006)
('g', 0.234195, 1652022923441733402)
('g', 0.204761, 1652022923441939296)
('i', 0.29522, 1652022923442235566)
('g', 0.555089, 1652022923442791882)
('i', 0.394492, 1652022923443188287)
('g', 0.296896, 1652022923443486843)
('i', 0.384414, 1652022923443872364)
('g', 0.265015, 1652022923444139019)
('g', 0.413182, 1652022923444553344)
('g', 0.457029, 1652022923445012305)
('g', 0.498202, 1652022923445512212)
('g', 0.258711, 1652022923445772789)
('i', 0.282746, 1652022923446056702)
('g', 0.227079, 1652022923446284824)
('g', 0.284448, 1652022923446570309)
('d', 2.330816, 1652022923448902077)
('g', 1.0626, 1652022923449966270)
('g', 0.199259, 1652022923450167086)
('d', 0.404358, 1652022923450572481)
('g', 0.409924, 1652022923450984190)
('g', 0.54451, 1652022923451530255)
('g', 0.192962, 1652022923451724860)
('i', 0.291722, 1652022923452017598)
('d', 0.229714, 1652022923452248278)
('g', 0.252241, 1652022923452501622)
('i', 0.382122, 1652022923452884734)
('i', 1.407717, 1652022923454294014)
('d', 0.361933, 1652022923454657637)
('g', 0.370229, 1652022923455029638)
('g', 1.62508, 1652022923456656247)
('d', 0.348866, 1652022923457006636)
('d', 0.244379, 1652022923457252650)
('g', 0.252473, 1652022923457506803)
('g', 0.192495, 1652022923457700861)
('i', 0.232561, 1652022923457934908)
('g', 0.207339, 1652022923458143944)
('g', 0.182353, 1652022923458327817)
('g', 0.230302, 1652022923458559035)
('g', 0.158445, 1652022923458718897)
('g', 0.167724, 1652022923458887461)
('g', 0.425732, 1652022923459314646)
('d', 1.292113, 1652022923460608461)
('g', 0.223029, 1652022923460833048)
('g', 0.160897, 1652022923460995616)
('i', 0.293148, 1652022923461289889)
('g', 0.283073, 1652022923461574329)
('i', 0.298721, 1652022923461874697)
('i', 0.263628, 1652022923462139776)
('g', 0.473364, 1652022923462614707)
('g', 0.812422, 1652022923463428620)
('g', 0.23834, 1652022923463668561)
('g', 0.410599, 1652022923464080745)
('g', 0.164525, 1652022923464246828)
('g', 0.208721, 1652022923464456701)
('i', 0.248998, 1652022923464706660)
('g', 0.178325, 1652022923464886582)
('d', 0.53832, 1652022923465426395)
('i', 0.283583, 1652022923465711099)
('g', 0.200309, 1652022923465912491)
('g', 0.407247, 1652022923466320860)
('g', 1.494067, 1652022923467816444)
('g', 0.235769, 1652022923468053663)
('d', 0.269716, 1652022923468324366)
('g', 0.500864, 1652022923468826758)
('g', 0.242891, 1652022923469071103)
('g', 1.531764, 1652022923470604292)
('g', 1.278671, 1652022923471884432)
('g', 0.363309, 1652022923472249386)
('g', 0.181615, 1652022923472432964)
('g', 0.275526, 1652022923472709573)
('g', 0.55316, 1652022923473264346)
('d', 0.259815, 1652022923473525905)
('d', 0.221227, 1652022923473748692)
('g', 0.359368, 1652022923474109647)
('d', 0.538822, 1652022923474649961)
('g', 0.292235, 1652022923474943945)
('g', 0.431015, 1652022923475376640)
('i', 0.280798, 1652022923475659045)
('g', 0.269974, 1652022923475930479)
('g', 0.686409, 1652022923476617991)
('i', 0.247666, 1652022923476867286)
('d', 0.293592, 1652022923477162350)
('g', 0.548315, 1652022923477712107)
('g', 0.181292, 1652022923477895119)
('g', 0.190486, 1652022923478087150)
('g', 0.16598, 1652022923478254180)
('g', 0.164486, 1652022923478420109)
('g', 0.222425, 1652022923478643557)
('g', 0.354918, 1652022923479000101)
('g', 1.515212, 1652022923480516841)
('g', 0.234933, 1652022923480753406)
('g', 0.210566, 1652022923480965504)
('g', 0.169252, 1652022923481135765)
('g', 0.160176, 1652022923481297456)
('d', 0.36404, 1652022923481710562)
('g', 0.21761, 1652022923481929805)
('g', 0.317832, 1652022923482248687)
('g', 0.233994, 1652022923482484203)
('g', 0.307223, 1652022923482792909)
('g', 0.16104, 1652022923482955534)
('d', 0.259766, 1652022923483216367)
('g', 2.097245, 1652022923485315232)
('g', 0.213965, 1652022923485533528)
('g', 0.253939, 1652022923485789187)
('g', 0.195126, 1652022923485985995)
('g', 0.223643, 1652022923486211136)
('g', 0.562458, 1652022923486774749)
('g', 0.199593, 1652022923486976104)
('i', 0.497851, 1652022923487475696)
('i', 0.841931, 1652022923488319392)
('g', 0.222858, 1652022923488544318)
('g', 0.293157, 1652022923488839144)
('g', 0.256215, 1652022923489097004)
('g', 0.304079, 1652022923489402481)
('g', 0.186935, 1652022923489590983)
('d', 0.34813, 1652022923489940720)
('i', 0.335411, 1652022923490277863)
('g', 0.228325, 1652022923490507800)
('g', 0.284092, 1652022923490793087)
('g', 0.212933, 1652022923491007814)
('d', 0.359647, 1652022923491369383)
('g', 0.243295, 1652022923491614158)
('g', 0.200159, 1652022923491815764)
('g', 0.250012, 1652022923492067353)
('g', 0.306164, 1652022923492375257)
('g', 0.220237, 1652022923492596944)
('g', 0.20709, 1652022923492805259)
('d', 0.354303, 1652022923493161194)
('g', 1.20381, 1652022923494366885)
('g', 0.365435, 1652022923494733937)
('d', 0.332139, 1652022923495067541)
('g', 0.65693, 1652022923495726474)
('g', 0.241089, 1652022923495969178)
('i', 0.367114, 1652022923496337503)
('g', 1.354651, 1652022923497693861)
('i', 0.408647, 1652022923498104393)
('i', 0.279113, 1652022923498385191)
('g', 0.234886, 1652022923498621599)
('g', 0.290067, 1652022923498913321)
('g', 0.341667, 1652022923499256627)
('g', 0.190675, 1652022923499449843)
('d', 0.238423, 1652022923499689519)
('g', 0.178171, 1652022923499868923)
('g', 0.21629, 1652022923500086363)
('g', 0.194478, 1652022923500281865)
('d', 0.600475, 1652022923500883748)
('g', 0.579466, 1652022923501464874)
('g', 1.511208, 1652022923502977593)
('i', 0.328426, 1652022923503307494)
('g', 0.297035, 1652022923503606104)
('d', 0.413975, 1652022923504021509)
('g', 0.252166, 1652022923504275234)
('g', 0.487357, 1652022923504764140)
('i', 0.506475, 1652022923505271950)
('g', 0.327647, 1652022923505601609)
('g', 0.4043, 1652022923506007486)
('i', 0.330955, 1652022923506339886)
('g', 0.318882, 1652022923506660350)
('g', 0.28522, 1652022923506947285)
('g', 0.227026, 1652022923507175802)
('d', 0.50644, 1652022923507683654)
('g', 0.372345, 1652022923508057587)
('g', 0.318898, 1652022923508378119)
('i', 0.389132, 1652022923508769036)
('g', 0.630997, 1652022923509401663)
('i', 0.269292, 1652022923509672401)
('g', 1.21895, 1652022923510893046)
('g', 0.31884, 1652022923511213391)
('g', 0.298272, 1652022923511513253)
('g', 0.252747, 1652022923511767717)
('g', 0.209446, 1652022923511978602)
('g', 0.261479, 1652022923512241788)
('g', 0.202814, 1652022923512446136)
('g', 0.173409, 1652022923512621039)
('g', 0.172696, 1652022923512795191)
('i', 0.443259, 1652022923513239875)
('d', 0.380423, 1652022923513622036)
('g', 0.463577, 1652022923514087414)
('g', 0.186027, 1652022923514275134)
('g', 0.196578, 1652022923514473397)
('g', 0.21223, 1652022923514687372)
('d', 0.260207, 1652022923514949274)
('g', 0.206436, 1652022923515157503)
('g', 0.160764, 1652022923515319834)
('d', 0.925232, 1652022923516246458)
('d', 0.308714, 1652022923516557027)
('i', 0.499692, 1652022923517058476)
('g', 0.780799, 1652022923517840943)
('g', 0.506194, 1652022923518348527)
('g', 0.488495, 1652022923518838645)
('g', 1.184471, 1652022923520024888)
('g', 0.284023, 1652022923520310632)
('i', 0.418632, 1652022923520734967)
('i', 0.559682, 1652022923521296144)
('g', 0.493168, 1652022923521790908)
('g', 0.214996, 1652022923522007208)
('g', 0.200636, 1652022923522209484)
('d', 0.229992, 1652022923522441211)
('g', 0.184522, 1652022923522627402)
('g', 0.258523, 1652022923522887769)
('g', 0.376317, 1652022923523265662)
('g', 0.230413, 1652022923523497729)
('i', 0.395769, 1652022923523895223)
('g', 0.353512, 1652022923524250838)
('g', 0.218408, 1652022923524470701)
('g', 0.193274, 1652022923524665652)
('g', 0.175395, 1652022923524842604)
('g', 0.330123, 1652022923525174141)
('g', 0.169188, 1652022923525344907)
('g', 0.328947, 1652022923525674986)
('d', 0.269624, 1652022923525946273)
('g', 0.1787, 1652022923526126666)
('g', 0.169247, 1652022923526297575)
('g', 0.437367, 1652022923526736392)
('i', 0.243731, 1652022923526981573)
('d', 0.221153, 1652022923527204456)
